ROI	N51211	N51221	N51231	N51383	N51386	N51404	N51406	N51193	N51136	N51201	N51234	N51241	N51252	N51282	N51390	N51392	N51393	N51133	N51388	N51124	N51130	N51131	N51164	N51182	N51151	N51622	N51620	N51617
0	1676.63122437	1681.62480354	1676.29132025	1677.26794148	1676.77530512	1682.78260715	1681.39703617	1662.53293985	1673.36228842	1683.78335275	1683.92427238	1677.55560385	1672.99393418	1664.77517569	1679.64028257	1678.77163871	1670.96598934	1669.47510299	1675.07811377	1665.16482593	1674.53306928	1683.35942926	1672.51011569	1680.14939006	1671.36894958	1671.24067446	1675.17777239	1674.55137053
1	0.98926573	1.05282098	0.98826748	1.06446723	1.08376673	1.12136748	1.05714673	0.78562274	1.01721673	0.95282961	1.05232186	1.05115723	0.93236548	0.96048286	1.11704173	1.08859161	1.02902936	1.01239186	1.10289986	1.03834636	1.05731311	1.01106086	1.04633236	0.88228661	1.10539548	1.00690148	1.07927461	0.87513249
2	0.47000937	0.46884474	0.47150674	0.44139287	0.49979049	0.50977299	0.46019324	0.37517562	0.44971162	0.42059599	0.48198837	0.40345937	0.43174312	0.43956274	0.48315299	0.45070987	0.43390599	0.46701462	0.45703212	0.42908112	0.46684824	0.40528949	0.46668187	0.40978162	0.44106012	0.37833674	0.45586749	0.38981662
3	0.95449336	0.94184886	0.86914299	0.94134973	0.93552661	1.02287348	0.89809224	0.72705874	0.85383649	0.83919549	0.88894161	0.81274186	0.80841611	0.86498361	0.87064036	0.93336373	0.91406424	0.90807474	0.92105199	0.97728673	1.00856523	0.94517636	0.90574549	0.80558774	0.98427448	0.90108699	1.01555298	0.76000099
4	0.34406349	0.2921545	0.295482	0.30263612	0.30429987	0.30047325	0.30579725	0.27518425	0.30529812	0.29631387	0.30879199	0.21528925	0.29265362	0.32426487	0.31910724	0.295482	0.3028025	0.34456262	0.29049075	0.31411599	0.28233837	0.29831037	0.29564837	0.27601612	0.3028025	0.2548865	0.25871312	0.2748515
5	0.259545	0.21345912	0.23675162	0.23725075	0.26570087	0.26852925	0.27035937	0.21595475	0.23591975	0.21978137	0.26253975	0.24190925	0.22843287	0.21845037	0.20347662	0.21662025	0.22710187	0.2389145	0.2242735	0.23808262	0.24190925	0.23458875	0.23325775	0.2216115	0.28782875	0.2535555	0.3014715	0.23991275
6	0.17336275	0.16936975	0.175692	0.157058	0.18617362	0.16404575	0.1697025	0.1870055	0.17752212	0.17486012	0.17818762	0.17652387	0.15339775	0.16537675	0.17386187	0.15739075	0.17918587	0.16188287	0.17070075	0.17935225	0.17718937	0.157058	0.17186537	0.14990387	0.17402825	0.16088462	0.1670405	0.15972
7	0.91173499	0.87163861	0.93868773	0.86498361	1.06696286	0.91273324	0.92404673	0.91356511	0.93752311	0.86115699	0.95865273	0.77131449	0.83786449	0.91406424	0.90092061	0.87979099	0.91606074	0.84435311	0.83370511	0.95199773	0.98144611	0.90391536	0.96231298	0.83254049	1.03801361	0.89859136	0.94284711	0.87746174
8	1.54678835	1.51218235	1.62149072	1.17543936	1.49770773	1.12219936	1.59536985	1.74427547	1.5551071	1.7114996	1.84177122	1.66191985	1.59986197	1.70467822	1.63646447	1.52016835	1.63080772	1.57257647	1.64311947	1.66973947	1.62398635	1.6016921	1.63812822	1.56093022	1.58755022	1.4053696	1.50569373	1.52149935
9	1.14332898	1.16229573	1.08875798	1.27543073	1.19207686	1.37592123	1.18642011	1.05099086	1.2722696	1.14515911	1.11371423	1.07561436	1.13550936	1.05847773	1.22219073	1.10606098	1.23649898	1.08110473	1.2516391	1.07727811	1.14698923	1.13417836	1.08210298	1.08726061	1.16728698	1.08925711	1.15946736	0.83819724
10	0.72672599	0.70077149	0.70293436	0.78895024	0.73288186	0.70493086	0.65734761	0.77297824	0.76316211	0.83187499	0.78029874	0.76515861	0.73720761	0.72057011	0.75184861	0.80325849	0.79444061	0.74186611	0.70942299	0.80092924	0.74219886	0.78113061	0.76549136	0.73221636	0.72472949	0.76765424	0.68380124	0.69128811
11	0.77081536	0.74552636	0.80359124	0.80891524	0.79477336	0.73271549	0.72323211	0.78362624	0.80442311	0.82122699	0.81889774	0.82788199	0.82638461	0.79460699	0.85433561	0.86997486	0.84967711	0.81573661	0.85982599	0.89709399	0.79044761	0.79993099	0.77214636	0.70193611	0.72572774	0.75467699	0.68912524	0.75317961
12	0.66666461	0.65102536	0.70542999	0.76416036	0.72905524	0.73155086	0.68979074	0.75600799	0.75933549	0.81290824	0.76449311	0.74486086	0.71208499	0.68662961	0.70609549	0.75184861	0.78462449	0.72789061	0.71424786	0.83536886	0.67930911	0.78612186	0.70060511	0.75334599	0.68479949	0.69345099	0.63688349	0.69295186
13	0.28117375	0.27252225	0.28100737	0.2894925	0.27052575	0.27584975	0.25671662	0.32027187	0.28117375	0.31677799	0.25987775	0.227601	0.275517	0.25655025	0.28866062	0.26137512	0.27135762	0.27069212	0.28450125	0.29831037	0.24407212	0.28533312	0.26253975	0.27518425	0.28450125	0.24656775	0.25638387	0.33524562
14	0.47982549	0.51143674	0.49529837	0.45686574	0.45936137	0.48747874	0.52707599	0.48564862	0.50112149	0.50295162	0.63605161	0.48298662	0.49529837	0.55286412	0.52607774	0.52607774	0.54903749	0.53539474	0.58214612	0.57599024	0.52391487	0.48531587	0.51343324	0.45686574	0.48099012	0.52075374	0.50245249	0.48232112
15	3.53929532	3.56025857	3.52448794	3.59569644	3.48123044	3.75558281	3.51866482	3.72064406	3.75258806	3.54927782	3.69119569	3.42599394	3.85840256	3.71914669	3.63462819	3.41567869	3.80998744	3.94641494	3.98052181	3.82562669	3.38855957	3.56391882	3.69152844	3.40436519	3.61815707	3.48672082	3.98767594	3.3597767
16	3.29755245	3.50452294	3.29605507	3.54944419	3.36393607	3.28424245	3.41967169	3.66923419	3.44496069	3.84126594	3.42383107	3.45777157	3.28158045	3.33798157	3.53996082	3.59486457	3.72264056	3.35744745	3.53996082	3.38639669	3.65891894	3.55942669	3.38340195	3.62031994	3.43214982	3.38073995	3.27442632	3.38556482
17	1.42633285	1.55993197	1.42550098	1.49155185	1.46160435	1.5830581	1.51501073	1.71233147	1.53530848	1.54695472	1.57923147	1.32301398	1.54262897	1.41701585	1.60851347	1.61134185	1.51900373	1.54828572	1.60851347	1.48972173	1.5051946	1.53297923	1.5577691	1.55394247	1.54928397	1.36909985	1.48339948	1.44247123
18	0.1204555	0.1138005	0.12594587	0.10365162	0.12760962	0.10065687	0.11330137	0.11014025	0.118459	0.10880925	0.1177935	0.1018215	0.12095462	0.111804	0.11396687	0.10281975	0.11030662	0.11230312	0.10614725	0.14158512	0.115797	0.11429962	0.11795987	0.11746075	0.11413325	0.101156	0.10598087	0.1191245
19	3.82379656	4.03625743	3.98501394	3.89833256	3.90764956	4.09665156	3.94175644	3.86738681	4.34638043	4.11095981	4.30977793	3.86921694	4.04091593	4.10031181	4.13857806	4.13325406	4.05489143	4.39396368	4.3485433	4.61707255	4.3425538	3.95623106	4.12626631	3.91230806	4.11645018	3.78020631	4.04407706	3.71831481
20	3.43996944	3.52631807	3.60018857	3.44728994	3.49254394	3.55260532	3.3531217	3.46559119	3.72114319	3.70167731	3.67755294	3.58687857	3.61532869	3.60551257	3.67505732	3.51916394	3.55643194	3.81148481	3.81847256	4.28398981	3.49337582	3.48655444	3.48921644	3.48156319	3.61682607	3.17127382	3.49487319	3.18458382
